timestamp,event_duration_s,peak_order,peak_feedback,max_error,rms_error,mean_stress,avg_weight,is_loaded
2026-02-24 14:39:12,ARMGC_246,59.06,5999,6171,6032,1347.31,308.2,22688.43,2.3,0
2026-02-24 14:40:34,ARMGC_212,80.8,10000,9593,10000,2269.37,459.02,30207.72,0.1,0
2026-02-24 14:42:46,ARMGC_246,32.76,5999,6247,6011,1805.47,518.24,18934.35,1.5,0
2026-02-24 14:42:46,32.94,5999,6241,6011,1858.45,537.27,1.5,0
2026-02-24 14:44:00,ARMGC_212,108.7,10000,10232,10006,1902.34,368.58,47452.26,-0.0,0
2026-02-24 14:44:03,ARMGC_212,2.78,199,292,92,42.12,35.71,108.26,0.0,0
2026-02-24 14:45:54,ARMGC_246,40.87,5999,6228,6019,1700.87,455.37,20646.47,2.2,0
2026-02-24 14:45:54,40.49,5999,6212,6019,1631.65,431.61,2.2,0
2026-02-24 14:45:57,2.29,199,292,156,69.59,54.69,1.5,0
2026-02-24 14:45:57,ARMGC_246,2.29,199,285,156,65.88,51.68,139.06,1.5,0
2026-02-24 14:49:16,ARMGC_246,57.19,5999,6066,5950,1389.18,324.24,19343.16,0.9,0
2026-02-24 14:49:16,57.28,5999,6079,5999,1419.0,334.27,0.8,0
2026-02-24 14:49:20,ARMGC_246,3.2,199,269,120,48.57,36.87,106.77,0.4,0
2026-02-24 14:49:20,3.18,199,258,123,49.25,36.44,0.4,0
2026-02-24 14:49:47,ARMGC_212,47.49,5989,6013,6001,1476.49,335.76,17358.02,-0.6,0
2026-02-24 14:51:28,22.08,5288,4996,5288,1962.33,643.96,1.0,0
2026-02-24 14:51:28,ARMGC_246,21.99,5288,4996,5273,1902.15,618.55,11437.89,1.0,0
2026-02-24 14:51:32,ARMGC_246,3.47,199,211,149,58.99,41.86,210.7,1.0,0
2026-02-24 14:51:32,3.48,199,212,148,64.01,45.77,1.0,0
2026-02-24 14:54:24,22.1,5287,4857,5261,1639.21,521.66,1.2,0
2026-02-24 14:54:24,ARMGC_246,22.16,5287,4857,5227,1596.14,505.47,11143.04,1.2,0
2026-02-24 14:54:29,3.75,199,202,134,55.91,37.91,1.6,0
2026-02-24 14:54:29,ARMGC_246,3.76,199,203,122,51.38,35.23,146.72,1.6,0
2026-02-24 14:56:10,ARMGC_212,61.07,7329,6752,7362,1217.2,273.78,21584.3,-0.5,0
2026-02-24 14:59:57,ARMGC_212,80.65,9656,9306,9782,2213.23,485.52,32445.69,-1.1,0
2026-02-24 15:00:42,ARMGC_246,68.68,5999,6195,5999,1299.67,283.37,20061.23,3.4,0
2026-02-24 15:00:43,68.79,5999,6198,5999,1330.19,290.96,3.4,0
2026-02-24 15:04:21,31.16,5999,6043,5984,1886.07,546.4,1.1,0
2026-02-24 15:04:21,ARMGC_246,31.05,5999,6046,5978,1823.78,523.84,15230.95,1.1,0
2026-02-24 15:04:25,ARMGC_246,3.59,199,319,163,64.58,46.44,293.52,0.3,0
2026-02-24 15:04:25,3.58,199,319,168,67.2,48.21,0.3,0
2026-02-24 15:05:11,ARMGC_212,38.8,3282,3279,3282,942.11,262.02,11180.03,0.7,0
2026-02-24 15:05:15,ARMGC_212,3.41,199,244,63,35.45,30.12,123.54,1.0,0
2026-02-24 15:08:55,ARMGC_246,97.48,5999,6125,5955,1246.52,264.45,28203.08,2.0,0
2026-02-24 15:10:12,ARMGC_212,25.46,3264,3380,3185,941.24,268.29,7628.45,0.4,0
2026-02-24 15:10:15,ARMGC_212,2.28,199,234,72,32.23,26.45,66.53,0.6,0
2026-02-24 15:13:43,ARMGC_212,95.97,10000,10155,9912,1980.29,379.61,36989.4,0.5,0
2026-02-24 15:14:40,19.89,4768,4578,4759,1832.12,626.65,0.9,0
2026-02-24 15:14:40,ARMGC_246,19.68,4767,4555,4758,1724.55,578.57,10093.9,0.9,0
2026-02-24 15:14:43,ARMGC_246,2.27,199,264,73,30.72,26.31,88.28,0.7,0
2026-02-24 15:15:09,ARMGC_212,68.21,8882,8658,8907,1816.14,372.17,30260.13,0.6,0
2026-02-24 15:15:12,ARMGC_212,2.41,199,222,98,40.83,31.09,181.17,0.9,0
2026-02-24 15:16:51,34.3,5999,6142,6004,1874.01,533.97,0.6,0
2026-02-24 15:16:51,ARMGC_246,34.2,5999,6142,5977,1809.49,509.16,15016.29,0.6,0
2026-02-24 15:18:54,ARMGC_212,101.24,10000,10145,10000,2044.42,420.23,41870.63,-0.2,0
2026-02-24 15:19:18,36.89,5999,6117,6022,1835.63,540.66,1.1,0
2026-02-24 15:19:18,ARMGC_246,36.78,5999,6111,6018,1777.65,520.91,19386.17,1.1,0
2026-02-24 15:19:21,2.25,199,233,140,59.2,36.89,0.7,0
2026-02-24 15:19:21,ARMGC_246,2.36,199,234,139,60.08,36.98,86.95,0.8,0
2026-02-24 15:24:52,ARMGC_212,21.04,2664,2830,2710,860.05,273.38,6274.88,0.0,0
2026-02-24 15:24:55,ARMGC_212,2.49,199,239,52,30.32,25.27,64.68,0.2,0
2026-02-24 15:26:51,33.97,5999,6112,5999,1872.66,531.0,1.5,0
2026-02-24 15:26:51,ARMGC_246,33.97,5999,6112,5999,1844.15,520.53,15107.0,1.5,0
2026-02-24 15:34:31,ARMGC_246,63.64,5999,6194,5999,1376.84,296.95,20799.99,-1.2,0
2026-02-24 15:34:31,63.73,5999,6198,5999,1408.2,303.98,-1.2,0
2026-02-24 15:35:19,34.37,5999,6218,5944,1441.73,384.36,-1.1,0
2026-02-24 15:35:19,ARMGC_246,34.46,5999,6224,5961,1414.52,376.48,14059.76,-1.1,0
2026-02-24 15:35:53,ARMGC_212,83.38,9659,9374,9674,2195.0,541.68,44993.07,0.8,0
2026-02-24 15:37:29,ARMGC_212,86.86,10000,9859,10000,1987.36,444.02,38417.93,0.2,0
2026-02-24 15:42:45,ARMGC_212,35.01,4231,4210,4226,1152.13,286.74,9433.67,-0.1,0
2026-02-24 15:47:03,ARMGC_246,22.07,5295,4943,5315,1858.56,596.51,12396.51,1.2,0
2026-02-24 15:47:06,2.38,199,275,93,43.73,34.21,1.8,0
2026-02-24 15:47:06,ARMGC_246,2.38,199,270,95,39.27,31.06,61.28,1.8,0
2026-02-24 15:48:10,ARMGC_212,34.17,4132,3976,3417,291.8,84.14,3439.41,1.0,0
2026-02-24 15:49:59,72.16,5999,6165,6063,1272.58,295.23,0.2,0
2026-02-24 15:49:59,ARMGC_246,72.13,5999,6168,6067,1243.31,286.99,23313.88,0.2,0
2026-02-24 15:50:02,2.77,199,259,160,66.27,46.85,0.0,0
2026-02-24 15:50:02,ARMGC_246,2.77,199,259,160,65.34,45.36,107.5,0.0,0
2026-02-24 15:54:02,ARMGC_212,32.97,4230,4240,4269,1242.82,319.74,10334.83,0.6,0
2026-02-24 15:54:06,ARMGC_212,3.37,199,223,93,36.06,28.28,137.37,-0.3,0
2026-02-24 15:58:55,ARMGC_246,77.02,5999,6208,5999,1180.3,248.39,22619.46,1.0,0
2026-02-24 15:58:55,77.12,5999,6200,5999,1203.57,253.83,1.0,0
2026-02-24 15:59:15,ARMGC_212,46.75,5685,5468,5682,1416.96,322.16,15583.56,0.3,0
2026-02-24 16:03:06,ARMGC_212,113.21,10000,10139,10029,2149.36,500.99,52567.51,-0.6,0
2026-02-24 16:08:41,ARMGC_246,21.82,5281,5040,5219,1879.58,616.71,11179.41,1.2,0
2026-02-24 16:08:45,3.16,199,264,108,49.3,37.13,1.3,0
2026-02-24 16:08:45,ARMGC_246,3.17,199,264,108,47.57,35.74,184.11,1.3,0
